pericia,atributo,somente_treinada,penalidade_de_armadura
Acrobacia,Des,Não,Sim
Adestramento,Car,Sim,Não
Atletismo,For,Não,Não
Atuação,Car,Sim,Não
Cavalgar,Des,Não,Não
Conhecimento,Int,Sim,Não
Cura,Sab,Não,Não
Diplomacia,Car,Não,Não
Enganação,Car,Não,Não
Fortitude,Con,Não,Não
Furtividade,Des,Não,Sim
Guerra,Int,Sim,Não
Iniciativa,Des,Não,Não
Intimidação,Car,Não,Não
Intuição,Sab,Não,Não
Investigação,Int,Não,Não
Jogatina,Car,Sim,Não
Ladinagem,Des,Sim,Sim
Luta,For,Não,Não
Misticismo,Int,Sim,Não
Nobreza,Int,Sim,Não
Ofício,Int,Sim,Não
Percepção,Sab,Não,Não
Pilotagem,Des,Sim,Não
Pontaria,Des,Não,Não
Reflexos,Des,Não,Não
Religião,Sab,Sim,Não
Sobrevivência,Sab,Não,Não
Vontade,Sab,Não,Não
Nenhuma,NA,Não,Não
