pericia,atributo,somente_treinada,penalidade_de_armadura
Acrobacia,des,Não,Sim
Adestramento,car,Sim,Não
Atletismo,for,Não,Não
Atuação,car,Sim,Não
Cavalgar,des,Não,Não
Conhecimento,int,Sim,Não
Cura,sab,Não,Não
Diplomacia,car,Não,Não
Enganação,car,Não,Não
Fortitude,con,Não,Não
Furtividade,des,Não,Sim
Guerra,int,Sim,Não
Iniciativa,des,Não,Não
Intimidação,car,Não,Não
Intuição,sab,Não,Não
Investigação,int,Não,Não
Jogatina,car,Sim,Não
Ladinagem,des,Sim,Sim
Luta,for,Não,Não
Misticismo,int,Sim,Não
Nobreza,int,Sim,Não
Ofício,int,Sim,Não
Percepção,sab,Não,Não
Pilotagem,des,Sim,Não
Pontaria,des,Não,Não
Reflexos,des,Não,Não
Religião,sab,Sim,Não
Sobrevivência,sab,Não,Não
Vontade,sab,Não,Não
Nenhuma,,Não,Não
